Start Date,Start Time,End Date,End Time,Description
19/12/2025,16:21,19/12/2025,16:21,פָּרָשַׁת מִקֵּץ
20/12/2025,,,,רֹאשׁ חוֹדֶשׁ טֵבֵת
20/12/2025,17:20,20/12/2025,17:20,
26/12/2025,16:25,26/12/2025,16:25,פָּרָשַׁת וַיִּגַּשׁ
27/12/2025,,,,
27/12/2025,17:24,27/12/2025,17:24,
02/01/2026,16:29,02/01/2026,16:29,פָּרָשַׁת וַיְחִי
03/01/2026,,,,
03/01/2026,17:28,03/01/2026,17:28,
09/01/2026,16:35,09/01/2026,16:35,פָּרָשַׁת שְׁמוֹת
10/01/2026,,,,
10/01/2026,17:34,10/01/2026,17:34,
16/01/2026,16:41,16/01/2026,16:41,פָּרָשַׁת וָאֵרָא
17/01/2026,,,,
17/01/2026,17:39,17/01/2026,17:39,
23/01/2026,16:48,23/01/2026,16:48,פָּרָשַׁת בֹּא
24/01/2026,,,,
24/01/2026,17:45,24/01/2026,17:45,
30/01/2026,16:54,30/01/2026,16:54,פָּרָשַׁת בְּשַׁלַּח
31/01/2026,,,,שַׁבָּת שִׁירָה
31/01/2026,17:51,31/01/2026,17:51,
06/02/2026,17:00,06/02/2026,17:00,פָּרָשַׁת יִתְרוֹ
07/02/2026,,,,
07/02/2026,17:57,07/02/2026,17:57,
13/02/2026,17:07,13/02/2026,17:07,פָּרָשַׁת מִּשְׁפָּטִים
14/02/2026,,,,שַׁבָּת שְׁקָלִים
14/02/2026,18:03,14/02/2026,18:03,
20/02/2026,17:13,20/02/2026,17:13,פָּרָשַׁת תְּרוּמָה
21/02/2026,,,,
21/02/2026,18:09,21/02/2026,18:09,
27/02/2026,17:18,27/02/2026,17:18,פָּרָשַׁת תְּצַוֶּה
28/02/2026,,,,שַׁבָּת זָכוֹר
28/02/2026,18:14,28/02/2026,18:14,
06/03/2026,17:24,06/03/2026,17:24,פָּרָשַׁת כִּי תִשָּׂא
07/03/2026,,,,שַׁבָּת פּרה
07/03/2026,18:19,07/03/2026,18:19,
13/03/2026,17:29,13/03/2026,17:29,פָּרָשַׁת וַיַּקְהֵל־פְקוּדֵי
14/03/2026,,,,שַׁבָּת הַחֹדֶשׁ
14/03/2026,18:24,14/03/2026,18:24,
20/03/2026,17:34,20/03/2026,17:34,פָּרָשַׁת וַיִּקְרָא
21/03/2026,,,,
21/03/2026,18:29,21/03/2026,18:29,
27/03/2026,18:38,27/03/2026,18:38,פָּרָשַׁת צַו
28/03/2026,,,,שַׁבָּת הַגָּדוֹל
28/03/2026,19:34,28/03/2026,19:34,
03/04/2026,18:43,03/04/2026,18:43,פָּרָשַׁת פֶּסַח שַׁבָּת חוֹל הַמּוֹעֵד
04/04/2026,19:39,04/04/2026,19:39,
10/04/2026,18:48,10/04/2026,18:48,פָּרָשַׁת שְּׁמִינִי
11/04/2026,,,,
11/04/2026,19:44,11/04/2026,19:44,
17/04/2026,18:53,17/04/2026,18:53,פָּרָשַׁת תַזְרִיעַ־מְּצֹרָע
18/04/2026,,,,רֹאשׁ חוֹדֶשׁ אִיָיר
18/04/2026,19:50,18/04/2026,19:50,
24/04/2026,18:58,24/04/2026,18:58,פָּרָשַׁת אַחֲרֵי מוֹת־קְדשִׁים
25/04/2026,,,,
25/04/2026,19:55,25/04/2026,19:55,
01/05/2026,19:03,01/05/2026,19:03,פָּרָשַׁת אֱמוֹר
02/05/2026,,,,
02/05/2026,20:01,02/05/2026,20:01,
08/05/2026,19:08,08/05/2026,19:08,פָּרָשַׁת בְּהַר־בְּחֻקֹּתַי
09/05/2026,,,,
09/05/2026,20:07,09/05/2026,20:07,
15/05/2026,19:13,15/05/2026,19:13,פָּרָשַׁת בְּמִדְבַּר
16/05/2026,,,,Machar Chodesh
16/05/2026,20:12,16/05/2026,20:12,
22/05/2026,19:17,22/05/2026,19:17,פָּרָשַׁת נָשׂא
23/05/2026,,,,
23/05/2026,20:18,23/05/2026,20:18,
29/05/2026,19:22,29/05/2026,19:22,פָּרָשַׁת בְּהַעֲלֹתְךָ
30/05/2026,,,,
30/05/2026,20:23,30/05/2026,20:23,
05/06/2026,19:26,05/06/2026,19:26,פָּרָשַׁת שְׁלַח־לְךָ
06/06/2026,,,,
06/06/2026,20:27,06/06/2026,20:27,
12/06/2026,19:29,12/06/2026,19:29,פָּרָשַׁת קֹרַח
13/06/2026,,,,
13/06/2026,20:30,13/06/2026,20:30,
19/06/2026,19:31,19/06/2026,19:31,פָּרָשַׁת חֻקַּת
20/06/2026,,,,
20/06/2026,20:32,20/06/2026,20:32,
26/06/2026,19:32,26/06/2026,19:32,פָּרָשַׁת בָּלָק
27/06/2026,,,,
27/06/2026,20:33,27/06/2026,20:33,
03/07/2026,19:32,03/07/2026,19:32,פָּרָשַׁת פִּינְחָס
04/07/2026,,,,
04/07/2026,20:33,04/07/2026,20:33,
10/07/2026,19:31,10/07/2026,19:31,פָּרָשַׁת מַּטּוֹת־מַסְעֵי
11/07/2026,,,,
11/07/2026,20:31,11/07/2026,20:31,
17/07/2026,19:29,17/07/2026,19:29,פָּרָשַׁת דְּבָרִים
18/07/2026,,,,שַׁבָּת חֲזוֹן
18/07/2026,20:28,18/07/2026,20:28,
22/07/2026,19:45,22/07/2026,19:45,עֶרֶב תִּשְׁעָה בְּאָב
23/07/2026,20:17,23/07/2026,20:17,תִּשְׁעָה בְּאָב
24/07/2026,19:25,24/07/2026,19:25,פָּרָשַׁת וָאֶתְחַנַּן
25/07/2026,,,,שַׁבָּת נַחֲמוּ
25/07/2026,20:24,25/07/2026,20:24,
31/07/2026,19:20,31/07/2026,19:20,פָּרָשַׁת עֵקֶב
01/08/2026,,,,
01/08/2026,20:18,01/08/2026,20:18,
07/08/2026,19:14,07/08/2026,19:14,פָּרָשַׁת רְאֵה
08/08/2026,,,,
08/08/2026,20:11,08/08/2026,20:11,
14/08/2026,19:08,14/08/2026,19:08,פָּרָשַׁת שׁוֹפְטִים
15/08/2026,,,,
15/08/2026,20:03,15/08/2026,20:03,
21/08/2026,19:00,21/08/2026,19:00,פָּרָשַׁת כִּי־תֵצֵא
22/08/2026,,,,
22/08/2026,19:55,22/08/2026,19:55,
28/08/2026,18:52,28/08/2026,18:52,פָּרָשַׁת כִּי־תָבוֹא
29/08/2026,,,,
29/08/2026,19:46,29/08/2026,19:46,
04/09/2026,18:43,04/09/2026,18:43,פָּרָשַׁת נִצָּבִים־וַיֵּלֶךְ
05/09/2026,,,,
05/09/2026,19:37,05/09/2026,19:37,
11/09/2026,18:34,11/09/2026,18:34,פָּרָשַׁת רֹאשׁ הַשָּׁנָה
12/09/2026,19:27,12/09/2026,19:27,
18/09/2026,18:25,18/09/2026,18:25,פָּרָשַׁת הַאֲזִינוּ
19/09/2026,,,,שַׁבָּת שׁוּבָה
19/09/2026,19:18,19/09/2026,19:18,
25/09/2026,18:15,25/09/2026,18:15,פָּרָשַׁת סוּכּוֹת
26/09/2026,19:09,26/09/2026,19:09,
02/10/2026,18:06,02/10/2026,18:06,פָּרָשַׁת שְׁמִינִי עֲצֶרֶת
03/10/2026,19:00,03/10/2026,19:00,
09/10/2026,17:57,09/10/2026,17:57,פָּרָשַׁת בְּרֵאשִׁית
10/10/2026,,,,Machar Chodesh
10/10/2026,18:51,10/10/2026,18:51,
16/10/2026,17:49,16/10/2026,17:49,פָּרָשַׁת נֹחַ
17/10/2026,,,,
17/10/2026,18:43,17/10/2026,18:43,
23/10/2026,17:41,23/10/2026,17:41,פָּרָשַׁת לֶךְ־לְךָ
24/10/2026,,,,
24/10/2026,18:35,24/10/2026,18:35,
30/10/2026,16:34,30/10/2026,16:34,פָּרָשַׁת וַיֵּרָא
31/10/2026,,,,
31/10/2026,17:29,31/10/2026,17:29,
06/11/2026,16:28,06/11/2026,16:28,פָּרָשַׁת חַיֵּי שָֹרָה
07/11/2026,,,,
07/11/2026,17:24,07/11/2026,17:24,
13/11/2026,16:24,13/11/2026,16:24,פָּרָשַׁת תּוֹלְדוֹת
14/11/2026,,,,
14/11/2026,17:20,14/11/2026,17:20,
20/11/2026,16:20,20/11/2026,16:20,פָּרָשַׁת וַיֵּצֵא
21/11/2026,,,,
21/11/2026,17:17,21/11/2026,17:17,
27/11/2026,16:18,27/11/2026,16:18,פָּרָשַׁת וַיִּשְׁלַח
28/11/2026,,,,
28/11/2026,17:15,28/11/2026,17:15,
04/12/2026,16:17,04/12/2026,16:17,פָּרָשַׁת וַיֵּשֶׁב
05/12/2026,,,,
05/12/2026,17:15,05/12/2026,17:15,
11/12/2026,16:18,11/12/2026,16:18,פָּרָשַׁת מִקֵּץ
12/12/2026,,,,
12/12/2026,17:17,12/12/2026,17:17,
18/12/2026,16:20,18/12/2026,16:20,פָּרָשַׁת וַיִּגַּשׁ
19/12/2026,,,,
19/12/2026,17:19,19/12/2026,17:19,
25/12/2026,16:24,25/12/2026,16:24,פָּרָשַׁת וַיְחִי
26/12/2026,,,,
26/12/2026,17:23,26/12/2026,17:23,
01/01/2027,16:28,01/01/2027,16:28,פָּרָשַׁת שְׁמוֹת
02/01/2027,,,,
02/01/2027,17:27,02/01/2027,17:27,
08/01/2027,16:34,08/01/2027,16:34,פָּרָשַׁת וָאֵרָא
09/01/2027,,,,רֹאשׁ חוֹדֶשׁ שְׁבָט
09/01/2027,17:33,09/01/2027,17:33,
15/01/2027,16:40,15/01/2027,16:40,פָּרָשַׁת בֹּא
16/01/2027,,,,
16/01/2027,17:38,16/01/2027,17:38,
22/01/2027,16:46,22/01/2027,16:46,פָּרָשַׁת בְּשַׁלַּח
23/01/2027,,,,שַׁבָּת שִׁירָה
23/01/2027,17:44,23/01/2027,17:44,
29/01/2027,16:53,29/01/2027,16:53,פָּרָשַׁת יִתְרוֹ
30/01/2027,,,,
30/01/2027,17:50,30/01/2027,17:50,
05/02/2027,16:59,05/02/2027,16:59,פָּרָשַׁת מִּשְׁפָּטִים
06/02/2027,,,,Machar Chodesh
06/02/2027,17:56,06/02/2027,17:56,
12/02/2027,17:06,12/02/2027,17:06,פָּרָשַׁת תְּרוּמָה
13/02/2027,,,,
13/02/2027,18:02,13/02/2027,18:02,
19/02/2027,17:12,19/02/2027,17:12,פָּרָשַׁת תְּצַוֶּה
20/02/2027,,,,
20/02/2027,18:08,20/02/2027,18:08,
26/02/2027,17:17,26/02/2027,17:17,פָּרָשַׁת כִּי תִשָּׂא
27/02/2027,,,,
27/02/2027,18:13,27/02/2027,18:13,
05/03/2027,17:23,05/03/2027,17:23,פָּרָשַׁת וַיַּקְהֵל
06/03/2027,,,,שַׁבָּת שְׁקָלִים
06/03/2027,18:18,06/03/2027,18:18,
12/03/2027,17:28,12/03/2027,17:28,פָּרָשַׁת פְקוּדֵי
13/03/2027,,,,
13/03/2027,18:23,13/03/2027,18:23,
19/03/2027,17:33,19/03/2027,17:33,פָּרָשַׁת וַיִּקְרָא
20/03/2027,,,,שַׁבָּת זָכוֹר
20/03/2027,18:28,20/03/2027,18:28,
26/03/2027,18:38,26/03/2027,18:38,פָּרָשַׁת צַו
27/03/2027,,,,שַׁבָּת פּרה
27/03/2027,19:33,27/03/2027,19:33,
02/04/2027,18:42,02/04/2027,18:42,פָּרָשַׁת שְּׁמִינִי
03/04/2027,,,,שַׁבָּת הַחֹדֶשׁ
03/04/2027,19:38,03/04/2027,19:38,
09/04/2027,18:47,09/04/2027,18:47,פָּרָשַׁת תַזְרִיעַ
10/04/2027,,,,
10/04/2027,19:43,10/04/2027,19:43,
16/04/2027,18:52,16/04/2027,18:52,פָּרָשַׁת מְּצֹרָע
17/04/2027,,,,שַׁבָּת הַגָּדוֹל
17/04/2027,19:49,17/04/2027,19:49,
23/04/2027,18:57,23/04/2027,18:57,פָּרָשַׁת פֶּסַח שַׁבָּת חוֹל הַמּוֹעֵד
24/04/2027,19:54,24/04/2027,19:54,
30/04/2027,19:02,30/04/2027,19:02,פָּרָשַׁת אַחֲרֵי מוֹת
01/05/2027,,,,
01/05/2027,20:00,01/05/2027,20:00,
07/05/2027,19:07,07/05/2027,19:07,פָּרָשַׁת קְדשִׁים
08/05/2027,,,,רֹאשׁ חוֹדֶשׁ אִיָיר
08/05/2027,20:06,08/05/2027,20:06,
14/05/2027,19:12,14/05/2027,19:12,פָּרָשַׁת אֱמוֹר
15/05/2027,,,,
15/05/2027,20:11,15/05/2027,20:11,
21/05/2027,19:17,21/05/2027,19:17,פָּרָשַׁת בְּהַר
22/05/2027,,,,
22/05/2027,20:17,22/05/2027,20:17,
28/05/2027,19:21,28/05/2027,19:21,פָּרָשַׁת בְּחֻקֹּתַי
29/05/2027,,,,
29/05/2027,20:22,29/05/2027,20:22,
04/06/2027,19:25,04/06/2027,19:25,פָּרָשַׁת בְּמִדְבַּר
05/06/2027,,,,Machar Chodesh
05/06/2027,20:26,05/06/2027,20:26,
11/06/2027,19:28,11/06/2027,19:28,פָּרָשַׁת נָשׂא
12/06/2027,,,,
12/06/2027,20:30,12/06/2027,20:30,
18/06/2027,19:31,18/06/2027,19:31,פָּרָשַׁת בְּהַעֲלֹתְךָ
19/06/2027,,,,
19/06/2027,20:32,19/06/2027,20:32,
25/06/2027,19:32,25/06/2027,19:32,פָּרָשַׁת שְׁלַח־לְךָ
26/06/2027,,,,
26/06/2027,20:33,26/06/2027,20:33,
02/07/2027,19:33,02/07/2027,19:33,פָּרָשַׁת קֹרַח
03/07/2027,,,,
03/07/2027,20:33,03/07/2027,20:33,
09/07/2027,19:32,09/07/2027,19:32,פָּרָשַׁת חֻקַּת
10/07/2027,,,,
10/07/2027,20:32,10/07/2027,20:32,
16/07/2027,19:29,16/07/2027,19:29,פָּרָשַׁת בָּלָק
17/07/2027,,,,
17/07/2027,20:29,17/07/2027,20:29,
23/07/2027,19:26,23/07/2027,19:26,פָּרָשַׁת פִּינְחָס
24/07/2027,,,,
24/07/2027,20:24,24/07/2027,20:24,
30/07/2027,19:21,30/07/2027,19:21,פָּרָשַׁת מַּטּוֹת־מַסְעֵי
31/07/2027,,,,
31/07/2027,20:19,31/07/2027,20:19,
06/08/2027,19:16,06/08/2027,19:16,פָּרָשַׁת דְּבָרִים
07/08/2027,,,,שַׁבָּת חֲזוֹן
07/08/2027,20:12,07/08/2027,20:12,
11/08/2027,19:29,11/08/2027,19:29,עֶרֶב תִּשְׁעָה בְּאָב
12/08/2027,20:00,12/08/2027,20:00,תִּשְׁעָה בְּאָב
13/08/2027,19:09,13/08/2027,19:09,פָּרָשַׁת וָאֶתְחַנַּן
14/08/2027,,,,שַׁבָּת נַחֲמוּ
14/08/2027,20:05,14/08/2027,20:05,
20/08/2027,19:01,20/08/2027,19:01,פָּרָשַׁת עֵקֶב
21/08/2027,,,,
21/08/2027,19:57,21/08/2027,19:57,
27/08/2027,18:53,27/08/2027,18:53,פָּרָשַׁת רְאֵה
28/08/2027,,,,
28/08/2027,19:48,28/08/2027,19:48,
03/09/2027,18:44,03/09/2027,18:44,פָּרָשַׁת שׁוֹפְטִים
04/09/2027,,,,
04/09/2027,19:39,04/09/2027,19:39,
10/09/2027,18:35,10/09/2027,18:35,פָּרָשַׁת כִּי־תֵצֵא
11/09/2027,,,,
11/09/2027,19:29,11/09/2027,19:29,
17/09/2027,18:26,17/09/2027,18:26,פָּרָשַׁת כִּי־תָבוֹא
18/09/2027,,,,
18/09/2027,19:20,18/09/2027,19:20,
24/09/2027,18:17,24/09/2027,18:17,פָּרָשַׁת נִצָּבִים־וַיֵּלֶךְ
25/09/2027,,,,
25/09/2027,19:10,25/09/2027,19:10,
01/10/2027,18:08,01/10/2027,18:08,פָּרָשַׁת רֹאשׁ הַשָּׁנָה
02/10/2027,19:01,02/10/2027,19:01,
08/10/2027,17:59,08/10/2027,17:59,פָּרָשַׁת הַאֲזִינוּ
09/10/2027,,,,שַׁבָּת שׁוּבָה
09/10/2027,18:52,09/10/2027,18:52,
15/10/2027,17:50,15/10/2027,17:50,פָּרָשַׁת סוּכּוֹת
16/10/2027,18:44,16/10/2027,18:44,
22/10/2027,17:42,22/10/2027,17:42,פָּרָשַׁת שְׁמִינִי עֲצֶרֶת
23/10/2027,18:37,23/10/2027,18:37,
29/10/2027,17:35,29/10/2027,17:35,פָּרָשַׁת בְּרֵאשִׁית
30/10/2027,,,,Machar Chodesh
30/10/2027,18:30,30/10/2027,18:30,
05/11/2027,16:29,05/11/2027,16:29,פָּרָשַׁת נֹחַ
06/11/2027,,,,
06/11/2027,17:25,06/11/2027,17:25,
12/11/2027,16:24,12/11/2027,16:24,פָּרָשַׁת לֶךְ־לְךָ
13/11/2027,,,,
13/11/2027,17:20,13/11/2027,17:20,
19/11/2027,16:21,19/11/2027,16:21,פָּרָשַׁת וַיֵּרָא
20/11/2027,,,,
20/11/2027,17:17,20/11/2027,17:17,
26/11/2027,16:18,26/11/2027,16:18,פָּרָשַׁת חַיֵּי שָֹרָה
27/11/2027,,,,
27/11/2027,17:16,27/11/2027,17:16,
03/12/2027,16:17,03/12/2027,16:17,פָּרָשַׁת תּוֹלְדוֹת
04/12/2027,,,,
04/12/2027,17:15,04/12/2027,17:15,
10/12/2027,16:18,10/12/2027,16:18,פָּרָשַׁת וַיֵּצֵא
11/12/2027,,,,
11/12/2027,17:16,11/12/2027,17:16,
17/12/2027,16:20,17/12/2027,16:20,פָּרָשַׁת וַיִּשְׁלַח
18/12/2027,,,,
18/12/2027,17:19,18/12/2027,17:19,
24/12/2027,16:23,24/12/2027,16:23,פָּרָשַׁת וַיֵּשֶׁב
25/12/2027,,,,
25/12/2027,17:22,25/12/2027,17:22,
31/12/2027,16:28,31/12/2027,16:28,פָּרָשַׁת מִקֵּץ
01/01/2028,,,,
01/01/2028,17:27,01/01/2028,17:27,
07/01/2028,16:33,07/01/2028,16:33,פָּרָשַׁת וַיִּגַּשׁ
08/01/2028,,,,
08/01/2028,17:32,08/01/2028,17:32,
14/01/2028,16:39,14/01/2028,16:39,פָּרָשַׁת וַיְחִי
15/01/2028,,,,
15/01/2028,17:37,15/01/2028,17:37,
21/01/2028,16:45,21/01/2028,16:45,פָּרָשַׁת שְׁמוֹת
22/01/2028,,,,
22/01/2028,17:43,22/01/2028,17:43,
28/01/2028,16:52,28/01/2028,16:52,פָּרָשַׁת וָאֵרָא
29/01/2028,,,,רֹאשׁ חוֹדֶשׁ שְׁבָט
29/01/2028,17:49,29/01/2028,17:49,
04/02/2028,16:58,04/02/2028,16:58,פָּרָשַׁת בֹּא
05/02/2028,,,,
05/02/2028,17:55,05/02/2028,17:55,
11/02/2028,17:05,11/02/2028,17:05,פָּרָשַׁת בְּשַׁלַּח
12/02/2028,,,,שַׁבָּת שִׁירָה
12/02/2028,18:01,12/02/2028,18:01,
18/02/2028,17:11,18/02/2028,17:11,פָּרָשַׁת יִתְרוֹ
19/02/2028,,,,
19/02/2028,18:07,19/02/2028,18:07,
25/02/2028,17:16,25/02/2028,17:16,פָּרָשַׁת מִּשְׁפָּטִים
26/02/2028,,,,שַׁבָּת שְׁקָלִים
26/02/2028,18:12,26/02/2028,18:12,
03/03/2028,17:22,03/03/2028,17:22,פָּרָשַׁת תְּרוּמָה
04/03/2028,,,,
04/03/2028,18:17,04/03/2028,18:17,
10/03/2028,17:27,10/03/2028,17:27,פָּרָשַׁת תְּצַוֶּה
11/03/2028,,,,שַׁבָּת זָכוֹר
11/03/2028,18:22,11/03/2028,18:22,
17/03/2028,17:32,17/03/2028,17:32,פָּרָשַׁת כִּי תִשָּׂא
18/03/2028,,,,שַׁבָּת פּרה
18/03/2028,18:27,18/03/2028,18:27,
24/03/2028,18:37,24/03/2028,18:37,פָּרָשַׁת וַיַּקְהֵל־פְקוּדֵי
25/03/2028,,,,שַׁבָּת הַחֹדֶשׁ
25/03/2028,19:32,25/03/2028,19:32,
31/03/2028,18:42,31/03/2028,18:42,פָּרָשַׁת וַיִּקְרָא
01/04/2028,,,,
01/04/2028,19:37,01/04/2028,19:37,
07/04/2028,18:46,07/04/2028,18:46,פָּרָשַׁת צַו
08/04/2028,,,,שַׁבָּת הַגָּדוֹל
08/04/2028,19:43,08/04/2028,19:43,
14/04/2028,18:51,14/04/2028,18:51,פָּרָשַׁת פֶּסַח שַׁבָּת חוֹל הַמּוֹעֵד
15/04/2028,19:48,15/04/2028,19:48,
21/04/2028,18:56,21/04/2028,18:56,פָּרָשַׁת שְּׁמִינִי
22/04/2028,,,,
22/04/2028,19:53,22/04/2028,19:53,
28/04/2028,19:01,28/04/2028,19:01,פָּרָשַׁת תַזְרִיעַ־מְּצֹרָע
29/04/2028,,,,
29/04/2028,19:59,29/04/2028,19:59,
05/05/2028,19:06,05/05/2028,19:06,פָּרָשַׁת אַחֲרֵי מוֹת־קְדשִׁים
06/05/2028,,,,
06/05/2028,20:05,06/05/2028,20:05,
12/05/2028,19:11,12/05/2028,19:11,פָּרָשַׁת אֱמוֹר
13/05/2028,,,,
13/05/2028,20:10,13/05/2028,20:10,
19/05/2028,19:16,19/05/2028,19:16,פָּרָשַׁת בְּהַר־בְּחֻקֹּתַי
20/05/2028,,,,
20/05/2028,20:16,20/05/2028,20:16,
26/05/2028,19:20,26/05/2028,19:20,פָּרָשַׁת בְּמִדְבַּר
27/05/2028,,,,
27/05/2028,20:21,27/05/2028,20:21,
02/06/2028,19:24,02/06/2028,19:24,פָּרָשַׁת נָשׂא
03/06/2028,,,,
03/06/2028,20:25,03/06/2028,20:25,
09/06/2028,19:28,09/06/2028,19:28,פָּרָשַׁת בְּהַעֲלֹתְךָ
10/06/2028,,,,
10/06/2028,20:29,10/06/2028,20:29,
16/06/2028,19:31,16/06/2028,19:31,פָּרָשַׁת שְׁלַח־לְךָ
17/06/2028,,,,
17/06/2028,20:32,17/06/2028,20:32,
23/06/2028,19:32,23/06/2028,19:32,פָּרָשַׁת קֹרַח
24/06/2028,,,,רֹאשׁ חוֹדֶשׁ תַּמּוּז
24/06/2028,20:33,24/06/2028,20:33,
30/06/2028,19:33,30/06/2028,19:33,פָּרָשַׁת חֻקַּת
01/07/2028,,,,
01/07/2028,20:33,01/07/2028,20:33,
07/07/2028,19:32,07/07/2028,19:32,פָּרָשַׁת בָּלָק
08/07/2028,,,,
08/07/2028,20:32,08/07/2028,20:32,
14/07/2028,19:30,14/07/2028,19:30,פָּרָשַׁת פִּינְחָס
15/07/2028,,,,
15/07/2028,20:29,15/07/2028,20:29,
21/07/2028,19:27,21/07/2028,19:27,פָּרָשַׁת מַּטּוֹת־מַסְעֵי
22/07/2028,,,,
22/07/2028,20:25,22/07/2028,20:25,
28/07/2028,19:22,28/07/2028,19:22,פָּרָשַׁת דְּבָרִים
29/07/2028,,,,שַׁבָּת חֲזוֹן
29/07/2028,20:20,29/07/2028,20:20,
31/07/2028,19:38,31/07/2028,19:38,עֶרֶב תִּשְׁעָה בְּאָב
01/08/2028,20:10,01/08/2028,20:10,תִּשְׁעָה בְּאָב
04/08/2028,19:17,04/08/2028,19:17,פָּרָשַׁת וָאֶתְחַנַּן
05/08/2028,,,,שַׁבָּת נַחֲמוּ
05/08/2028,20:14,05/08/2028,20:14,
11/08/2028,19:10,11/08/2028,19:10,פָּרָשַׁת עֵקֶב
12/08/2028,,,,
12/08/2028,20:06,12/08/2028,20:06,
18/08/2028,19:03,18/08/2028,19:03,פָּרָשַׁת רְאֵה
19/08/2028,,,,
19/08/2028,19:58,19/08/2028,19:58,
25/08/2028,18:55,25/08/2028,18:55,פָּרָשַׁת שׁוֹפְטִים
26/08/2028,,,,
26/08/2028,19:49,26/08/2028,19:49,
01/09/2028,18:46,01/09/2028,18:46,פָּרָשַׁת כִּי־תֵצֵא
02/09/2028,,,,
02/09/2028,19:40,02/09/2028,19:40,
08/09/2028,18:37,08/09/2028,18:37,פָּרָשַׁת כִּי־תָבוֹא
09/09/2028,,,,
09/09/2028,19:31,09/09/2028,19:31,
15/09/2028,18:28,15/09/2028,18:28,פָּרָשַׁת נִצָּבִים־וַיֵּלֶךְ
16/09/2028,,,,
16/09/2028,19:21,16/09/2028,19:21,
22/09/2028,18:19,22/09/2028,18:19,פָּרָשַׁת הַאֲזִינוּ
23/09/2028,,,,שַׁבָּת שׁוּבָה
23/09/2028,19:12,23/09/2028,19:12,
29/09/2028,18:09,29/09/2028,18:09,פָּרָשַׁת יוֹם כִּפּוּר
30/09/2028,19:03,30/09/2028,19:03,
06/10/2028,18:00,06/10/2028,18:00,פָּרָשַׁת סוּכּוֹת שַׁבָּת חוֹל הַמּוֹעֵד
07/10/2028,18:54,07/10/2028,18:54,
13/10/2028,17:52,13/10/2028,17:52,פָּרָשַׁת בְּרֵאשִׁית
14/10/2028,,,,
14/10/2028,18:46,14/10/2028,18:46,
20/10/2028,17:44,20/10/2028,17:44,פָּרָשַׁת נֹחַ
21/10/2028,,,,רֹאשׁ חוֹדֶשׁ חֶשְׁוָן
21/10/2028,18:38,21/10/2028,18:38,
27/10/2028,17:37,27/10/2028,17:37,פָּרָשַׁת לֶךְ־לְךָ
28/10/2028,,,,
28/10/2028,18:31,28/10/2028,18:31,
03/11/2028,16:30,03/11/2028,16:30,פָּרָשַׁת וַיֵּרָא
04/11/2028,,,,
04/11/2028,17:26,04/11/2028,17:26,
10/11/2028,16:25,10/11/2028,16:25,פָּרָשַׁת חַיֵּי שָֹרָה
11/11/2028,,,,
11/11/2028,17:21,11/11/2028,17:21,
17/11/2028,16:21,17/11/2028,16:21,פָּרָשַׁת תּוֹלְדוֹת
18/11/2028,,,,Machar Chodesh
18/11/2028,17:18,18/11/2028,17:18,
24/11/2028,16:19,24/11/2028,16:19,פָּרָשַׁת וַיֵּצֵא
25/11/2028,,,,
25/11/2028,17:16,25/11/2028,17:16,
01/12/2028,16:17,01/12/2028,16:17,פָּרָשַׁת וַיִּשְׁלַח
02/12/2028,,,,
02/12/2028,17:15,02/12/2028,17:15,
