"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Family Day","28/2/2025",,,,"true","Yom HaMishpacha; a day to honor the family unit","3","Jewish Holidays"
"Rosh Chodesh Adar","28/2/2025",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","28/2/2025","17:19","28/2/2025","17:19","false","Parashat Terumah","4","Ramat Gan"
"Shabbat Shekalim","1/3/2025",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","1/3/2025",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Parashat Terumah","1/3/2025",,,,"true","Shabbat Shekalim + Rosh Chodesh Adar","3","Torah Reading"
"Havdalah","1/3/2025","18:15","1/3/2025","18:15","false","","4","Ramat Gan"
"Candle lighting","7/3/2025","17:25","7/3/2025","17:25","false","Parashat Tetzaveh","4","Ramat Gan"
"Shabbat Zachor","8/3/2025",,,,"true","Shabbat of Remembrance","3","Jewish Holidays"
"Parashat Tetzaveh","8/3/2025",,,,"true","Shabbat Zachor","3","Torah Reading"
"Havdalah","8/3/2025","18:20","8/3/2025","18:20","false","","4","Ramat Gan"
"Fast begins","13/3/2025","04:41","13/3/2025","04:41","false","Ta’anit Esther","4","Ramat Gan"
"Ta’anit Esther","13/3/2025",,,,"true","Fast of Esther","3","Jewish Holidays"
"Fast ends","13/3/2025","18:17","13/3/2025","18:17","false","Ta’anit Esther","4","Ramat Gan"
"Erev Purim","13/3/2025",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","14/3/2025",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Candle lighting","14/3/2025","17:30","14/3/2025","17:30","false","Parashat Ki Tisa","4","Ramat Gan"
"Shushan Purim","15/3/2025",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Parashat Ki Tisa","15/3/2025",,,,"true","","3","Torah Reading"
"Havdalah","15/3/2025","18:25","15/3/2025","18:25","false","","4","Ramat Gan"
"Purim Meshulash","16/3/2025",,,,"true","Triple Purim; spanning 3 days in Jerusalem and walled cities","3","Jewish Holidays"
"Candle lighting","21/3/2025","17:34","21/3/2025","17:34","false","Parashat Vayakhel","4","Ramat Gan"
"Shabbat Parah","22/3/2025",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Parashat Vayakhel","22/3/2025",,,,"true","Shabbat Parah","3","Torah Reading"
"Havdalah","22/3/2025","18:30","22/3/2025","18:30","false","","4","Ramat Gan"
"Candle lighting","28/3/2025","18:39","28/3/2025","18:39","false","Parashat Pekudei","4","Ramat Gan"
"Shabbat HaChodesh","29/3/2025",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Parashat Pekudei","29/3/2025",,,,"true","Shabbat HaChodesh","3","Torah Reading"
"Mevarchim Chodesh Nisan","29/3/2025",,,,"true","Molad Nisan: Sat; 46 minutes and 1 chalakim after 7:00","3",""
"Havdalah","29/3/2025","19:35","29/3/2025","19:35","false","","4","Ramat Gan"
"Rosh Chodesh Nisan","30/3/2025",,,,"true","Start of month of Nisan on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","4/4/2025","18:44","4/4/2025","18:44","false","Parashat Vayikra","4","Ramat Gan"
"Parashat Vayikra","5/4/2025",,,,"true","","3","Torah Reading"
"Havdalah","5/4/2025","19:40","5/4/2025","19:40","false","","4","Ramat Gan"
"Yom HaAliyah","8/4/2025",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Fast begins","10/4/2025","05:03","10/4/2025","05:03","false","Ta’anit Bechorot","4","Ramat Gan"
"Ta’anit Bechorot","10/4/2025",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Fast ends","10/4/2025","19:37","10/4/2025","19:37","false","Ta’anit Bechorot","4","Ramat Gan"
"Candle lighting","11/4/2025","18:49","11/4/2025","18:49","false","Parashat Tzav","4","Ramat Gan"
"Shabbat HaGadol","12/4/2025",,,,"true","Shabbat before Pesach (The Great Shabbat)","3","Jewish Holidays"
"Erev Pesach","12/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Parashat Tzav","12/4/2025",,,,"true","Shabbat HaGadol","3","Torah Reading"
"Candle lighting","12/4/2025","19:45","12/4/2025","19:45","false","Erev Pesach","4","Ramat Gan"
"Pesach I","13/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Havdalah","13/4/2025","19:46","13/4/2025","19:46","false","Pesach I","4","Ramat Gan"
"Pesach II (CH’’M)","14/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","15/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","16/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","17/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","18/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Candle lighting","18/4/2025","18:54","18/4/2025","18:54","false","Pesach VI (CH’’M)","4","Ramat Gan"
"Pesach VII","19/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Havdalah","19/4/2025","19:51","19/4/2025","19:51","false","Pesach VII","4","Ramat Gan"
"Yom HaShoah","24/4/2025",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Candle lighting","25/4/2025","18:59","25/4/2025","18:59","false","Parashat Shmini","4","Ramat Gan"
"Parashat Shmini","26/4/2025",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Iyyar","26/4/2025",,,,"true","Molad Iyyar: Sun; 30 minutes and 2 chalakim after 20:00","3",""
"Havdalah","26/4/2025","19:56","26/4/2025","19:56","false","","4","Ramat Gan"
"Rosh Chodesh Iyyar","28/4/2025",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","29/4/2025",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Yom HaZikaron","30/4/2025",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma’ut","1/5/2025",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Candle lighting","2/5/2025","19:04","2/5/2025","19:04","false","Parashat Tazria-Metzora","4","Ramat Gan"
"Parashat Tazria-Metzora","3/5/2025",,,,"true","","3","Torah Reading"
"Havdalah","3/5/2025","20:02","3/5/2025","20:02","false","","4","Ramat Gan"
"Herzl Day","8/5/2025",,,,"true","Commemorates the life and vision of Zionist leader Theodor Herzl","3","Jewish Holidays"
"Candle lighting","9/5/2025","19:09","9/5/2025","19:09","false","Parashat Achrei Mot-Kedoshim","4","Ramat Gan"
"Parashat Achrei Mot-Kedoshim","10/5/2025",,,,"true","","3","Torah Reading"
"Havdalah","10/5/2025","20:08","10/5/2025","20:08","false","","4","Ramat Gan"
"Pesach Sheni","12/5/2025",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","16/5/2025",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Candle lighting","16/5/2025","19:14","16/5/2025","19:14","false","Parashat Emor","4","Ramat Gan"
"Parashat Emor","17/5/2025",,,,"true","","3","Torah Reading"
"Havdalah","17/5/2025","20:13","17/5/2025","20:13","false","","4","Ramat Gan"
"Candle lighting","23/5/2025","19:18","23/5/2025","19:18","false","Parashat Behar-Bechukotai","4","Ramat Gan"
"Parashat Behar-Bechukotai","24/5/2025",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Sivan","24/5/2025",,,,"true","Molad Sivan: Tue; 14 minutes and 3 chalakim after 9:00","3",""
"Havdalah","24/5/2025","20:19","24/5/2025","20:19","false","","4","Ramat Gan"
"Yom Yerushalayim","26/5/2025",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","28/5/2025",,,,"true","Start of month of Sivan on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","30/5/2025","19:23","30/5/2025","19:23","false","Parashat Bamidbar","4","Ramat Gan"
"Parashat Bamidbar","31/5/2025",,,,"true","","3","Torah Reading"
"Havdalah","31/5/2025","20:23","31/5/2025","20:23","false","","4","Ramat Gan"
"Erev Shavuot","1/6/2025",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Candle lighting","1/6/2025","19:24","1/6/2025","19:24","false","Erev Shavuot","4","Ramat Gan"
"Shavuot","2/6/2025",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Havdalah","2/6/2025","20:25","2/6/2025","20:25","false","Shavuot","4","Ramat Gan"
"Candle lighting","6/6/2025","19:26","6/6/2025","19:26","false","Parashat Nasso","4","Ramat Gan"
"Parashat Nasso","7/6/2025",,,,"true","","3","Torah Reading"
"Havdalah","7/6/2025","20:28","7/6/2025","20:28","false","","4","Ramat Gan"
"Candle lighting","13/6/2025","19:29","13/6/2025","19:29","false","Parashat Beha’alotcha","4","Ramat Gan"
"Parashat Beha’alotcha","14/6/2025",,,,"true","","3","Torah Reading"
"Havdalah","14/6/2025","20:31","14/6/2025","20:31","false","","4","Ramat Gan"
"Candle lighting","20/6/2025","19:32","20/6/2025","19:32","false","Parashat Sh’lach","4","Ramat Gan"
"Parashat Sh’lach","21/6/2025",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Tamuz","21/6/2025",,,,"true","Molad Tamuz: Wed; 58 minutes and 4 chalakim after 21:00","3",""
"Havdalah","21/6/2025","20:33","21/6/2025","20:33","false","","4","Ramat Gan"
"Rosh Chodesh Tamuz","26/6/2025",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Tamuz","27/6/2025",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","27/6/2025","19:33","27/6/2025","19:33","false","Parashat Korach","4","Ramat Gan"
"Parashat Korach","28/6/2025",,,,"true","","3","Torah Reading"
"Havdalah","28/6/2025","20:33","28/6/2025","20:33","false","","4","Ramat Gan"
"Candle lighting","4/7/2025","19:32","4/7/2025","19:32","false","Parashat Chukat","4","Ramat Gan"
"Parashat Chukat","5/7/2025",,,,"true","","3","Torah Reading"
"Havdalah","5/7/2025","20:33","5/7/2025","20:33","false","","4","Ramat Gan"
"Candle lighting","11/7/2025","19:31","11/7/2025","19:31","false","Parashat Balak","4","Ramat Gan"
"Parashat Balak","12/7/2025",,,,"true","","3","Torah Reading"
"Havdalah","12/7/2025","20:31","12/7/2025","20:31","false","","4","Ramat Gan"
"Fast begins","13/7/2025","04:18","13/7/2025","04:18","false","Tzom Tammuz","4","Ramat Gan"
"Tzom Tammuz","13/7/2025",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Fast ends","13/7/2025","20:22","13/7/2025","20:22","false","Tzom Tammuz","4","Ramat Gan"
"Candle lighting","18/7/2025","19:28","18/7/2025","19:28","false","Parashat Pinchas","4","Ramat Gan"
"Parashat Pinchas","19/7/2025",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Av","19/7/2025",,,,"true","Molad Av: Fri; 42 minutes and 5 chalakim after 10:00","3",""
"Havdalah","19/7/2025","20:27","19/7/2025","20:27","false","","4","Ramat Gan"
"Jabotinsky Day","25/7/2025",,,,"true","Commemorates the life and vision of Zionist leader Ze'ev Jabotinsky","3","Jewish Holidays"
"Candle lighting","25/7/2025","19:24","25/7/2025","19:24","false","Parashat Matot-Masei","4","Ramat Gan"
"Rosh Chodesh Av","26/7/2025",,,,"true","Start of month of Av on the Hebrew calendar","3","Jewish Holidays"
"Parashat Matot-Masei","26/7/2025",,,,"true","Rosh Chodesh Av","3","Torah Reading"
"Havdalah","26/7/2025","20:23","26/7/2025","20:23","false","","4","Ramat Gan"
"Candle lighting","1/8/2025","19:19","1/8/2025","19:19","false","Parashat Devarim","4","Ramat Gan"
"Shabbat Chazon","2/8/2025",,,,"true","Shabbat of Prophecy/Shabbat of Vision","3","Jewish Holidays"
"Fast begins","2/8/2025","19:37","2/8/2025","19:37","false","Erev Tish’a B’Av","4","Ramat Gan"
"Erev Tish’a B’Av","2/8/2025",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Parashat Devarim","2/8/2025",,,,"true","Shabbat Chazon","3","Torah Reading"
"Havdalah","2/8/2025","20:17","2/8/2025","20:17","false","","4","Ramat Gan"
"Tish’a B’Av","3/8/2025",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Fast ends","3/8/2025","20:08","3/8/2025","20:08","false","Tish’a B’Av","4","Ramat Gan"
"Candle lighting","8/8/2025","19:13","8/8/2025","19:13","false","Parashat Vaetchanan","4","Ramat Gan"
"Tu B’Av","9/8/2025",,,,"true","Minor Jewish holiday of love","3","Jewish Holidays"
"Shabbat Nachamu","9/8/2025",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Parashat Vaetchanan","9/8/2025",,,,"true","Shabbat Nachamu","3","Torah Reading"
"Havdalah","9/8/2025","20:10","9/8/2025","20:10","false","","4","Ramat Gan"
"Candle lighting","15/8/2025","19:06","15/8/2025","19:06","false","Parashat Eikev","4","Ramat Gan"
"Parashat Eikev","16/8/2025",,,,"true","","3","Torah Reading"
"Havdalah","16/8/2025","20:02","16/8/2025","20:02","false","","4","Ramat Gan"
"Candle lighting","22/8/2025","18:59","22/8/2025","18:59","false","Parashat Re’eh","4","Ramat Gan"
"Parashat Re’eh","23/8/2025",,,,"true","Machar Chodesh","3","Torah Reading"
"Mevarchim Chodesh Elul","23/8/2025",,,,"true","Molad Elul: Sat; 26 minutes and 6 chalakim after 23:00","3",""
"Havdalah","23/8/2025","19:54","23/8/2025","19:54","false","","4","Ramat Gan"
"Rosh Chodesh Elul","24/8/2025",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Rosh Hashana LaBehemot","25/8/2025",,,,"true","New Year for Tithing Animals","3","Jewish Holidays"
"Rosh Chodesh Elul","25/8/2025",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","29/8/2025","18:50","29/8/2025","18:50","false","Parashat Shoftim","4","Ramat Gan"
"Parashat Shoftim","30/8/2025",,,,"true","","3","Torah Reading"
"Havdalah","30/8/2025","19:45","30/8/2025","19:45","false","","4","Ramat Gan"
"Candle lighting","5/9/2025","18:41","5/9/2025","18:41","false","Parashat Ki Teitzei","4","Ramat Gan"
"Parashat Ki Teitzei","6/9/2025",,,,"true","","3","Torah Reading"
"Havdalah","6/9/2025","19:35","6/9/2025","19:35","false","","4","Ramat Gan"
"Candle lighting","12/9/2025","18:32","12/9/2025","18:32","false","Parashat Ki Tavo","4","Ramat Gan"
"Leil Selichot","13/9/2025",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Parashat Ki Tavo","13/9/2025",,,,"true","","3","Torah Reading"
"Havdalah","13/9/2025","19:26","13/9/2025","19:26","false","","4","Ramat Gan"
"Candle lighting","19/9/2025","18:23","19/9/2025","18:23","false","Parashat Nitzavim","4","Ramat Gan"
"Parashat Nitzavim","20/9/2025",,,,"true","","3","Torah Reading"
"Havdalah","20/9/2025","19:16","20/9/2025","19:16","false","","4","Ramat Gan"
"Erev Rosh Hashana","22/9/2025",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Candle lighting","22/9/2025","18:19","22/9/2025","18:19","false","Erev Rosh Hashana","4","Ramat Gan"
"Rosh Hashana 5786","23/9/2025",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Candle lighting","23/9/2025","19:12","23/9/2025","19:12","false","Rosh Hashana 5786","4","Ramat Gan"
"Rosh Hashana II","24/9/2025",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Havdalah","24/9/2025","19:11","24/9/2025","19:11","false","Rosh Hashana II","4","Ramat Gan"
"Fast begins","25/9/2025","05:18","25/9/2025","05:18","false","Tzom Gedaliah","4","Ramat Gan"
"Tzom Gedaliah","25/9/2025",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Fast ends","25/9/2025","19:03","25/9/2025","19:03","false","Tzom Gedaliah","4","Ramat Gan"
"Candle lighting","26/9/2025","18:14","26/9/2025","18:14","false","Parashat Vayeilech","4","Ramat Gan"
"Shabbat Shuva","27/9/2025",,,,"true","Shabbat of Returning","3","Jewish Holidays"
"Parashat Vayeilech","27/9/2025",,,,"true","Shabbat Shuva","3","Torah Reading"
"Havdalah","27/9/2025","19:07","27/9/2025","19:07","false","","4","Ramat Gan"
"Erev Yom Kippur","1/10/2025",,,,"true","Day of Atonement","3","Jewish Holidays"
"Candle lighting","1/10/2025","18:07","1/10/2025","18:07","false","Erev Yom Kippur","4","Ramat Gan"
"Yom Kippur","2/10/2025",,,,"true","Day of Atonement","4","Jewish Holidays"
"Havdalah","2/10/2025","19:00","2/10/2025","19:00","false","Yom Kippur","4","Ramat Gan"
"Candle lighting","3/10/2025","18:05","3/10/2025","18:05","false","Parashat Ha’azinu","4","Ramat Gan"
"Parashat Ha’azinu","4/10/2025",,,,"true","","3","Torah Reading"
"Havdalah","4/10/2025","18:58","4/10/2025","18:58","false","","4","Ramat Gan"
"Erev Sukkot","6/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Candle lighting","6/10/2025","18:01","6/10/2025","18:01","false","Erev Sukkot","4","Ramat Gan"
"Sukkot I","7/10/2025",,,,"true","Feast of Booths","4","Jewish Holidays"
"Havdalah","7/10/2025","18:54","7/10/2025","18:54","false","Sukkot I","4","Ramat Gan"
"Sukkot II (CH’’M)","8/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","9/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","10/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Candle lighting","10/10/2025","17:56","10/10/2025","17:56","false","Parashat Sukkot Shabbat Chol ha-Moed","4","Ramat Gan"
"Sukkot V (CH’’M)","11/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Havdalah","11/10/2025","18:49","11/10/2025","18:49","false","","4","Ramat Gan"
"Sukkot VI (CH’’M)","12/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","13/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Candle lighting","13/10/2025","17:52","13/10/2025","17:52","false","Sukkot VII (Hoshana Raba)","4","Ramat Gan"
"Shmini Atzeret","14/10/2025",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Havdalah","14/10/2025","18:46","14/10/2025","18:46","false","Shmini Atzeret","4","Ramat Gan"
"Candle lighting","17/10/2025","17:47","17/10/2025","17:47","false","Parashat Bereshit","4","Ramat Gan"
"Parashat Bereshit","18/10/2025",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Cheshvan","18/10/2025",,,,"true","Molad Cheshvan: Wed; 54 minutes and 8 chalakim after 0:00","3",""
"Havdalah","18/10/2025","18:41","18/10/2025","18:41","false","","4","Ramat Gan"
"Rosh Chodesh Cheshvan","22/10/2025",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","23/10/2025",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","24/10/2025","17:40","24/10/2025","17:40","false","Parashat Noach","4","Ramat Gan"
"Parashat Noach","25/10/2025",,,,"true","","3","Torah Reading"
"Havdalah","25/10/2025","18:34","25/10/2025","18:34","false","","4","Ramat Gan"
"Yom HaAliyah School Observance","29/10/2025",,,,"true","Aliyah Day observed in Israeli schools","3","Jewish Holidays"
"Candle lighting","31/10/2025","16:33","31/10/2025","16:33","false","Parashat Lech-Lecha","4","Ramat Gan"
"Parashat Lech-Lecha","1/11/2025",,,,"true","","3","Torah Reading"
"Havdalah","1/11/2025","17:28","1/11/2025","17:28","false","","4","Ramat Gan"
"Yitzhak Rabin Memorial Day","3/11/2025",,,,"true","Commemorates the life of Israeli Prime Minister Yitzhak Rabin","3","Jewish Holidays"
"Candle lighting","7/11/2025","16:27","7/11/2025","16:27","false","Parashat Vayera","4","Ramat Gan"
"Parashat Vayera","8/11/2025",,,,"true","","3","Torah Reading"
"Havdalah","8/11/2025","17:23","8/11/2025","17:23","false","","4","Ramat Gan"
"Candle lighting","14/11/2025","16:23","14/11/2025","16:23","false","Parashat Chayei Sara","4","Ramat Gan"
"Parashat Chayei Sara","15/11/2025",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Kislev","15/11/2025",,,,"true","Molad Kislev: Thu; 38 minutes and 9 chalakim after 13:00","3",""
"Havdalah","15/11/2025","17:19","15/11/2025","17:19","false","","4","Ramat Gan"
"Sigd","20/11/2025",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","21/11/2025",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","21/11/2025","16:20","21/11/2025","16:20","false","Parashat Toldot","4","Ramat Gan"
"Parashat Toldot","22/11/2025",,,,"true","","3","Torah Reading"
"Havdalah","22/11/2025","17:17","22/11/2025","17:17","false","","4","Ramat Gan"
"Ben-Gurion Day","26/11/2025",,,,"true","Commemorates the life and vision of Israel's first Prime Minister David Ben-Gurion","3","Jewish Holidays"
"Candle lighting","28/11/2025","16:18","28/11/2025","16:18","false","Parashat Vayetzei","4","Ramat Gan"
"Parashat Vayetzei","29/11/2025",,,,"true","","3","Torah Reading"
"Havdalah","29/11/2025","17:15","29/11/2025","17:15","false","","4","Ramat Gan"
"Candle lighting","5/12/2025","16:17","5/12/2025","16:17","false","Parashat Vayishlach","4","Ramat Gan"
"Parashat Vayishlach","6/12/2025",,,,"true","","3","Torah Reading"
"Havdalah","6/12/2025","17:16","6/12/2025","17:16","false","","4","Ramat Gan"
"Candle lighting","12/12/2025","16:18","12/12/2025","16:18","false","Parashat Vayeshev","4","Ramat Gan"
"Parashat Vayeshev","13/12/2025",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Tevet","13/12/2025",,,,"true","Molad Tevet: Sat; 22 minutes and 10 chalakim after 2:00","3",""
"Havdalah","13/12/2025","17:17","13/12/2025","17:17","false","","4","Ramat Gan"
"Chanukah: 1 Candle","14/12/2025","16:57","14/12/2025","16:57","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Chanukah: 2 Candles","15/12/2025","16:57","15/12/2025","16:57","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Chanukah: 3 Candles","16/12/2025","16:57","16/12/2025","16:57","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Chanukah: 4 Candles","17/12/2025","16:58","17/12/2025","16:58","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Chanukah: 5 Candles","18/12/2025","16:58","18/12/2025","16:58","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Chanukah: 6 Candles","19/12/2025","16:21","19/12/2025","16:21","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Candle lighting","19/12/2025","16:21","19/12/2025","16:21","false","Parashat Miketz","4","Ramat Gan"
"Chag HaBanot","20/12/2025",,,,"true","North African Chanukah festival of daughters","3","Jewish Holidays"
"Chanukah: 7 Candles","20/12/2025","17:20","20/12/2025","17:20","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Rosh Chodesh Tevet","20/12/2025",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Parashat Miketz","20/12/2025",,,,"true","Rosh Chodesh Tevet","3","Torah Reading"
"Havdalah","20/12/2025","17:20","20/12/2025","17:20","false","","4","Ramat Gan"
"Chanukah: 8 Candles","21/12/2025","17:00","21/12/2025","17:00","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Rosh Chodesh Tevet","21/12/2025",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8th Day","22/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
